%"Time"	"0 Channel 1"
2283.434624	9.410889
2283.634592	9.456665
2283.834560	9.456665
2284.034528	9.380371
2284.234496	9.456665
2284.434464	9.502441
2284.634432	9.471924
2284.834400	9.380371
2285.034368	9.349854
2285.234336	9.471924
2285.434304	9.609253
2285.634272	9.914429
2285.834240	10.295898
2286.034208	10.768921
2286.234176	11.440308
2286.434144	12.279541
2286.634112	12.798340
2286.834080	13.500244
2287.034048	13.988525
2287.234016	14.797241
2287.433984	15.117676
2287.633952	15.483887
2287.833920	15.850098
2288.033888	16.124756
2288.233856	16.613037
2288.433824	16.735107
2288.633792	16.963989
2288.833760	17.238647
2289.033728	17.604858
2289.233696	17.894775
2289.433664	18.062622
2289.633632	18.367798
2289.833600	18.550903
2290.033568	18.611938
2290.233536	18.947632
2290.433504	19.130737
2290.633472	19.390137
2290.833440	19.649536
2291.033408	20.061523
2291.233376	20.000488
2291.433344	20.153076
2291.633312	20.504028
2291.833280	20.412476
2292.033248	20.519287
2292.233216	20.626099
2292.433184	20.778687
2292.633152	20.793945
2292.833120	20.916016
2293.033088	20.931274
2293.233056	21.160156
2293.433024	21.251709
2293.632992	21.099121
2293.832960	21.328003
2294.032928	21.434814
2294.232896	21.373779
2294.432864	21.389038
2294.632832	21.602661
2294.832800	21.724731
2295.032768	21.389038
2295.232736	21.556885
2295.432704	21.633179
2295.632672	21.770508
2295.832640	21.739990
2296.032608	21.724731
2296.232576	21.724731
2296.432544	21.877319
2296.632512	21.801025
2296.832480	21.984131
2297.032448	21.953613
2297.232416	21.938354
2297.432384	21.999390
2297.632352	21.984131
2297.832320	22.014648
2298.032288	21.984131
2298.232256	22.106201
2298.432224	22.090942
2298.632192	22.380859
2298.832160	22.106201
2299.032128	22.213013
2299.232096	22.106201
2299.432064	22.213013
2299.632032	21.999390
2299.832000	22.151978
2300.031968	22.228271
2300.231936	22.243530
2300.431904	22.243530
2300.631872	22.319824
2300.831840	22.151978
2301.031808	22.258789
2301.231776	22.426636
2301.431744	22.304565
2301.631712	22.289307
2301.831680	22.243530
2302.031648	22.411377
2302.231616	22.441895
2302.431584	22.487671
2302.631552	22.457153
2302.831520	22.441895
2303.031488	22.441895
2303.231456	22.457153
2303.431424	22.533447
2303.631392	22.548706
2303.831360	22.548706
2304.031328	22.335083
2304.231296	22.533447
2304.431264	22.579224
2304.631232	22.533447
2304.831200	22.518188
2305.031168	22.579224
2305.231136	22.518188
2305.431104	22.579224
2305.631072	22.548706
2305.831040	22.518188
2306.031008	22.579224
2306.230976	22.548706
2306.430944	22.594482
2306.630912	22.609741
2306.830880	22.548706
2307.030848	22.609741
2307.230816	22.594482
2307.430784	22.533447
2307.630752	22.640259
2307.830720	22.670776
2308.030688	22.747070
2308.230656	22.762329
2308.430624	22.609741
2308.630592	22.579224
2308.830560	22.625000
2309.030528	22.701294
2309.230496	22.563965
2309.430464	22.670776
2309.630432	22.731812
2309.830400	22.579224
2310.030368	22.792847
2310.230336	22.701294
2310.430304	22.930176
2310.630272	22.670776
2310.830240	22.747070
2311.030208	22.945435
2311.230176	22.686035
2311.430144	22.792847
2311.630112	22.838623
2311.830080	22.792847
2312.030048	22.792847
2312.230016	22.914917
2312.429984	22.777588
2312.629952	22.731812
2312.829920	22.792847
2313.029888	22.930176
2313.229856	22.914917
2313.429824	22.853882
2313.629792	22.914917
2313.829760	22.991211
2314.029728	22.869141
2314.229696	22.777588
2314.429664	22.808105
2314.629632	22.823364
